\N,Adak,AK,486
\N,Akhiok,AK,12899
\N,Akiachak,AK,627
\N,Akiak,AK,346
\N,Akutan,AK,1027
\N,Alakanuk,AK,677
\N,Aleknagik,AK,221
\N,Allakaket,AK,208
\N,Ambler,AK,259
\N,Anaktuvuk,AK,324
\N,AnaktuvukPass,AK,324
\N,Anch,AK,6174
\N,AnchorPoint,AK,2510
\N,Anchorage,AK,256280
\N,Anderson,AK,226
\N,Angoon,AK,479
\N,Aniak,AK,726
\N,Anvik,AK,85
\N,ArcticVillage,AK,152
\N,ArcticVlg,AK,152
\N,Atka,AK,61
\N,Atmautluak,AK,7632
\N,Atqasuk,AK,237
\N,AukeBay,AK,0
\N,Badger,AK,0
\N,Barrow,AK,5041
\N,Beaver,AK,84
\N,Bethel,AK,9283
\N,Bettles,AK,30
\N,BettlesField,AK,30
\N,BigLake,AK,3703
\N,BrevigMission,AK,388
\N,BrevigMsn,AK,388
\N,Buckland,AK,416
\N,Cantwell,AK,231
\N,Central,AK,144
\N,Chalkyitsik,AK,69
\N,Chefornak,AK,418
\N,ChenegaBay,AK,2348
\N,Chevak,AK,938
\N,Chickaloon,AK,1444
\N,Chicken,AK,10
\N,Chignik,AK,164
\N,ChignikLagn,AK,78
\N,ChignikLagoon,AK,78
\N,ChignikLake,AK,73
\N,Chiniak,AK,12899
\N,Chitina,AK,192
\N,Chuathbaluk,AK,726
\N,Chugiak,AK,9211
\N,Circle,AK,104
\N,ClamGulch,AK,279
\N,ClarksPoint,AK,64
\N,Clear,AK,24
\N,CoffmanCove,AK,231
\N,ColdBay,AK,160
\N,Coldfoot,AK,19019
\N,CooperLanding,AK,296
\N,CooperLndg,AK,296
\N,CopperCenter,AK,1115
\N,Cordova,AK,2436
\N,Craig,AK,1920
\N,CrookedCreek,AK,105
\N,Deering,AK,122
\N,DeltaJct,AK,5011
\N,DeltaJunction,AK,5011
\N,DenaliNationalPark,AK,217
\N,DenaliPark,AK,217
\N,Dillingham,AK,2603
\N,Diomede,AK,4038
\N,DotLake,AK,5011
\N,Douglas,AK,2111
\N,DutchHarbor,AK,152
\N,Eagle,AK,187
\N,EagleRiver,AK,25771
\N,EdnaBay,AK,13508
\N,Eek,AK,296
\N,Egegik,AK,109
\N,EielsonAFB,AK,2647
\N,Ekwok,AK,115
\N,ElfinCove,AK,120
\N,Elim,AK,330
\N,Emmonak,AK,762
\N,EnglishBay,AK,9840
\N,Ester,AK,0
\N,Fairbanks,AK,90599
\N,FalsePass,AK,35
\N,FortGreely,AK,0
\N,FortWainwright,AK,7065
\N,FortYukon,AK,654
\N,FritzCreek,AK,9840
\N,Gakona,AK,605
\N,Galena,AK,470
\N,Gambell,AK,681
\N,Girdwood,AK,2498
\N,Glennallen,AK,980
\N,Golovin,AK,4038
\N,GoodnewsBay,AK,243
\N,Grayling,AK,194
\N,Gulkana,AK,605
\N,Gustavus,AK,442
\N,Haines,AK,2602
\N,HalibutCove,AK,9840
\N,Healy,AK,1069
\N,HolyCross,AK,178
\N,Homer,AK,9840
\N,Hoonah,AK,777
\N,HooperBay,AK,1093
\N,Hope,AK,211
\N,Houston,AK,1512
\N,Hughes,AK,78
\N,Huslia,AK,277
\N,Hydaburg,AK,384
\N,Hyder,AK,87
\N,Igiugig,AK,434
\N,Iliamna,AK,513
\N,Indian,AK,320
\N,Jber,AK,13923
\N,Juneau,AK,31275
\N,Kachemak,AK,9840
\N,Kake,AK,561
\N,Kaktovik,AK,239
\N,Kalskag,AK,216
\N,Kaltag,AK,190
\N,Karluk,AK,0
\N,Kasaan,AK,13508
\N,Kasigluk,AK,569
\N,Kasilof,AK,2167
\N,Kenai,AK,15122
\N,Ketchikan,AK,14301
\N,Kiana,AK,363
\N,KingCove,AK,938
\N,KingSalmon,AK,536
\N,Kipnuk,AK,639
\N,Kivalina,AK,374
\N,Klawock,AK,819
\N,Kobuk,AK,151
\N,Kodiak,AK,12899
\N,Kokhanok,AK,469
\N,Kokhonak,AK,469
\N,Koliganek,AK,2603
\N,Kongiganak,AK,0
\N,Kotlik,AK,577
\N,Kotzebue,AK,3553
\N,Koyuk,AK,332
\N,Koyukuk,AK,96
\N,Kupreanof,AK,3202
\N,Kwethluk,AK,723
\N,Kwigillingok,AK,321
\N,LakeMinchumina,AK,17
\N,LarsenBay,AK,90
\N,Levelock,AK,72
\N,LittleDiomede,AK,4038
\N,LkMinchumina,AK,17
\N,LowerKalskag,AK,282
\N,LtlDiomede,AK,4038
\N,ManleyHotSprings,AK,119
\N,ManleySpgs,AK,119
\N,Manokotak,AK,443
\N,Marshall,AK,417
\N,McGrath,AK,501
\N,Mcgrath,AK,406
\N,MeadowLake,AK,0
\N,Mekoryuk,AK,191
\N,MentastaLake,AK,1535
\N,Metlakatla,AK,1460
\N,MeyersChuck,AK,31
\N,MiersLake,AK,605
\N,Minto,AK,210
\N,MoosePass,AK,228
\N,MountainVillage,AK,813
\N,MountainVlg,AK,813
\N,Naknek,AK,544
\N,Nanwalek,AK,9840
\N,Napakiak,AK,354
\N,Napaskiak,AK,7632
\N,NaukatiBay,AK,13508
\N,NelsonLagoon,AK,160
\N,Nenana,AK,1035
\N,NewStuyahok,AK,510
\N,Newtok,AK,7632
\N,Nightmute,AK,280
\N,Nikishka,AK,0
\N,Nikiski,AK,15122
\N,Nikolaevsk,AK,2510
\N,Nikolai,AK,95
\N,Nikolski,AK,18
\N,Ninilchik,AK,1131
\N,Noatak,AK,514
\N,Nome,AK,4038
\N,Nondalton,AK,174
\N,Noorvik,AK,668
\N,NorthPole,AK,22544
\N,Northway,AK,290
\N,Nuiqsut,AK,402
\N,Nulato,AK,264
